Handle,Bio_Text,Category_ID,Follower_Count,Following_Count,Engagement_Rate,Engagement,Profile_Pic_URL
@look_ifd0t,Personal stylist | Helping you dress your best every day,CAT002,230931,3306,9.34,21568,https://instagram.fcdn.com/fashion_1001/profile.jpg
@dev_ivuz,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,3224156,2829,3.29,106074,https://pbs.twimg.com/profile_images/tech_1002/photo.jpg
@saas_1fp,Full-stack developer | React & Node.js | Building scalable products,CAT001,882158,847,7.04,62103,https://pbs.twimg.com/profile_images/tech_1003/photo.jpg
@data_dd4,Full-stack developer | React & Node.js | Building scalable products,CAT001,1445305,321,4.94,71398,https://pbs.twimg.com/profile_images/tech_1004/photo.jpg
@trend_9nt,Model & content creator | Haute couture to everyday glam,CAT002,734444,175,16.76,123092,https://instagram.fcdn.com/fashion_1005/profile.jpg
@data_zbik,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,724936,1369,8.57,62127,https://pbs.twimg.com/profile_images/tech_1006/photo.jpg
@mode_q4fmy,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,308450,1554,18.4,56754,https://instagram.fcdn.com/fashion_1007/profile.jpg
@trend_tiqj,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,324607,3170,15.78,51222,https://instagram.fcdn.com/fashion_1008/profile.jpg
@gains_ibl,Yoga instructor | Mindful movement | Online classes available,CAT003,156953,3984,7.2,11300,https://cdn.fitfluencer.com/profiles/fitness_1009.jpg
@data_xo6q,Full-stack developer | React & Node.js | Building scalable products,CAT001,871202,1189,4.9,42688,https://pbs.twimg.com/profile_images/tech_1010/photo.jpg
@saas_6oh9sd,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,907514,768,5.22,47372,https://pbs.twimg.com/profile_images/tech_1011/photo.jpg
@bite_vnvqjt,Home chef & food blogger | Recipes every week | Mostly vegetarian,CAT005,131046,352,3.22,4219,https://cdn.foodieworld.com/users/food_1012/avatar.jpg
@saas_epq85,Full-stack developer | React & Node.js | Building scalable products,CAT001,5000000,5423,9.49,474500,https://pbs.twimg.com/profile_images/tech_1013/photo.jpg
@dev_4shnf,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,1946871,2451,9.86,191961,https://pbs.twimg.com/profile_images/tech_1014/photo.jpg
@tech_753,Full-stack developer | React & Node.js | Building scalable products,CAT001,682285,1202,5.92,40391,https://pbs.twimg.com/profile_images/tech_1015/photo.jpg
@dev_039,CTO & co-founder | Helping teams ship faster | DevOps & automation geek,CAT001,948152,2001,3.52,33374,https://pbs.twimg.com/profile_images/tech_1016/photo.jpg
@code_sv871,Data scientist | ML researcher | Turning data into decisions,CAT001,634328,775,8.94,56708,https://pbs.twimg.com/profile_images/tech_1017/photo.jpg
@voyage_pseim,Solo female traveler | Safety tips & inspiring journeys,CAT004,129910,2004,11.39,14796,https://static.wanderlust.io/profiles/travel_1018.jpg
@ai_cwi,Building the future with AI and machine learning | SaaS founder | Startup advisor,CAT001,1772546,3846,5.07,89868,https://pbs.twimg.com/profile_images/tech_1019/photo.jpg
@gym_yhe7u,Marathon runner | Endurance training tips | Race day advice,CAT003,135988,1330,5.71,7764,https://cdn.fitfluencer.com/profiles/fitness_1020.jpg
@drift_dxmo,Backpacker on a budget | Hostels & local food lover,CAT004,78894,2070,15.63,12331,https://static.wanderlust.io/profiles/travel_1021.jpg
@dev_om5,Data scientist | ML researcher | Turning data into decisions,CAT001,643613,231,9.06,58311,https://pbs.twimg.com/profile_images/tech_1022/photo.jpg
@grind_pki7,Marathon runner | Endurance training tips | Race day advice,CAT003,371287,1141,6.9,25618,https://cdn.fitfluencer.com/profiles/fitness_1023.jpg
@look_874,Sustainable fashion advocate | Thrifted & curated looks,CAT002,559044,1777,9.17,51264,https://instagram.fcdn.com/fashion_1024/profile.jpg
@roam_6fao72,"Adventure seeker | Hiking, diving & camping across the globe",CAT004,478310,2207,12.34,59023,https://static.wanderlust.io/profiles/travel_1025.jpg
@look_fk8ut0,Fashion influencer | Styling tips & OOTDs daily | Brand collabs open,CAT002,100000,2913,16.36,16360,https://instagram.fcdn.com/fashion_1026/profile.jpg
@code_8cg,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,533601,682,8.26,44075,https://pbs.twimg.com/profile_images/tech_1027/photo.jpg
@mode_7uu,Fashion influencer | Styling tips & OOTDs daily | Brand collabs open,CAT002,394431,3544,18.34,72338,https://instagram.fcdn.com/fashion_1028/profile.jpg
@look_7hzio,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,280252,3968,8.98,25166,https://instagram.fcdn.com/fashion_1029/profile.jpg
@data_awu,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,769547,2212,5.7,43864,https://pbs.twimg.com/profile_images/tech_1030/photo.jpg
@yummy_emcik,Healthy meal prep guru | Clean eating made easy,CAT005,108082,892,6.3,6809,https://cdn.foodieworld.com/users/food_1031/avatar.jpg
@explore_yt7,Full-time traveler | 60+ countries | Budget travel hacks,CAT004,141902,3134,14.74,20916,https://static.wanderlust.io/profiles/travel_1032.jpg
@wander_jvzh,Backpacker on a budget | Hostels & local food lover,CAT004,444129,818,9.91,44013,https://static.wanderlust.io/profiles/travel_1033.jpg
@globe_dpj,Full-time traveler | 60+ countries | Budget travel hacks,CAT004,127966,1087,12.56,16072,https://static.wanderlust.io/profiles/travel_1034.jpg
@saas_0tpa,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,2684202,1353,9.94,266809,https://pbs.twimg.com/profile_images/tech_1035/photo.jpg
@globe_pbn7,Full-time traveler | 60+ countries | Budget travel hacks,CAT004,195599,720,13,25427,https://static.wanderlust.io/profiles/travel_1036.jpg
@glam_mu5,Personal stylist | Helping you dress your best every day,CAT002,354936,1440,10.52,37339,https://instagram.fcdn.com/fashion_1037/profile.jpg
@ai_935a,Tech entrepreneur | Investor | Building next-gen SaaS platforms,CAT001,1134704,1019,11.33,128561,https://pbs.twimg.com/profile_images/tech_1038/photo.jpg
@vogue_j2d5,Model & content creator | Haute couture to everyday glam,CAT002,255548,3805,17.63,45053,https://instagram.fcdn.com/fashion_1039/profile.jpg
@cook_m35ixo,Pastry chef | Baking tutorials | Dessert lover,CAT005,25298,2098,3.78,956,https://cdn.foodieworld.com/users/food_1040/avatar.jpg
@saas_xo9t7,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,1329166,389,11.7,155512,https://pbs.twimg.com/profile_images/tech_1041/photo.jpg
@chic_dp0,"Luxury lifestyle & fashion | Paris, Milan, NYC | DMs open for collabs",CAT002,400947,1475,10.14,40656,https://instagram.fcdn.com/fashion_1042/profile.jpg
@dev_6gbps3,Data scientist | ML researcher | Turning data into decisions,CAT001,1532708,1979,8.46,129667,https://pbs.twimg.com/profile_images/tech_1043/photo.jpg
@data_xe6sy,Tech entrepreneur | Investor | Building next-gen SaaS platforms,CAT001,2481435,2462,6.88,170722,https://pbs.twimg.com/profile_images/tech_1044/photo.jpg
@code_p7y6,Full-stack developer | React & Node.js | Building scalable products,CAT001,772631,3691,9.27,71622,https://pbs.twimg.com/profile_images/tech_1045/photo.jpg
@fit_kpuxq,Marathon runner | Endurance training tips | Race day advice,CAT003,319965,5570,10.48,33532,https://cdn.fitfluencer.com/profiles/fitness_1046.jpg
@build_xkxw,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,929678,4707,4.92,45740,https://pbs.twimg.com/profile_images/tech_1047/photo.jpg
@ai_fb9w,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,1327018,903,9.06,120227,https://pbs.twimg.com/profile_images/tech_1048/photo.jpg
@lift_znof,"Wellness coach | Holistic health | Mind, body & soul",CAT003,226237,1720,9.14,20678,https://cdn.fitfluencer.com/profiles/fitness_1049.jpg
@dev_h2zqu7,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,660843,281,11.03,72890,https://pbs.twimg.com/profile_images/tech_1050/photo.jpg
@grind_86wzs,Gym rat & powerlifter | Strength over aesthetics | PRs weekly,CAT003,326499,1909,6.33,20667,https://cdn.fitfluencer.com/profiles/fitness_1051.jpg
@build_jiw1sw,Full-stack developer | React & Node.js | Building scalable products,CAT001,781290,1724,11.07,86488,https://pbs.twimg.com/profile_images/tech_1052/photo.jpg
@taste_jlte,Street food explorer | Eating my way around the world,CAT005,64584,2642,2.62,1692,https://cdn.foodieworld.com/users/food_1053/avatar.jpg
@lift_coto,CrossFit athlete | Nutrition coach | Weekly workout plans,CAT003,257901,3398,11.94,30793,https://cdn.fitfluencer.com/profiles/fitness_1054.jpg
@vogue_41n,Fashion influencer | Styling tips & OOTDs daily | Brand collabs open,CAT002,370388,1732,12.67,46928,https://instagram.fcdn.com/fashion_1055/profile.jpg
@drift_t026rj,Digital nomad | Working from cafes in Bali & Lisbon,CAT004,227905,2424,10.28,23428,https://static.wanderlust.io/profiles/travel_1056.jpg
@cloud_479t,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,2725853,206,6.5,177180,https://pbs.twimg.com/profile_images/tech_1057/photo.jpg
@wander_xeq,Full-time traveler | 60+ countries | Budget travel hacks,CAT004,226624,3120,13.21,29937,https://static.wanderlust.io/profiles/travel_1058.jpg
@gym_l1n13j,Certified personal trainer | Helping you crush your fitness goals,CAT003,257719,1932,8.79,22653,https://cdn.fitfluencer.com/profiles/fitness_1059.jpg
@tech_ic8bb,Data scientist | ML researcher | Turning data into decisions,CAT001,1490314,1487,3.17,47242,https://pbs.twimg.com/profile_images/tech_1060/photo.jpg
@code_eyuh,Full-stack developer | React & Node.js | Building scalable products,CAT001,1388249,552,10.55,146460,https://pbs.twimg.com/profile_images/tech_1061/photo.jpg
@sweat_2fl,Gym rat & powerlifter | Strength over aesthetics | PRs weekly,CAT003,110092,2374,6.68,7354,https://cdn.fitfluencer.com/profiles/fitness_1062.jpg
@sweat_ozcywd,Yoga instructor | Mindful movement | Online classes available,CAT003,143364,173,14.29,20486,https://cdn.fitfluencer.com/profiles/fitness_1063.jpg
@run_mpn,Gym rat & powerlifter | Strength over aesthetics | PRs weekly,CAT003,401066,3268,13.06,52379,https://cdn.fitfluencer.com/profiles/fitness_1064.jpg
@run_3d8w3z,Marathon runner | Endurance training tips | Race day advice,CAT003,133688,3067,8.41,11243,https://cdn.fitfluencer.com/profiles/fitness_1065.jpg
@look_w71q3,Personal stylist | Helping you dress your best every day,CAT002,263891,612,16.81,44360,https://instagram.fcdn.com/fashion_1066/profile.jpg
@bite_kq1,BBQ master | Grilling tips & smoker recipes | Weekends only,CAT005,135535,1152,4.58,6207,https://cdn.foodieworld.com/users/food_1067/avatar.jpg
@gains_rlr,Yoga instructor | Mindful movement | Online classes available,CAT003,226762,5582,11.68,26485,https://cdn.fitfluencer.com/profiles/fitness_1068.jpg
@trend_usgio,Personal stylist | Helping you dress your best every day,CAT002,193524,1236,12.08,23377,https://instagram.fcdn.com/fashion_1069/profile.jpg
@lift_qakoix,Yoga instructor | Mindful movement | Online classes available,CAT003,118340,1507,11.91,14094,https://cdn.fitfluencer.com/profiles/fitness_1070.jpg
@taste_9tmqli,Restaurant reviewer | Honest takes | Your city food guide,CAT005,74258,3095,6.43,4774,https://cdn.foodieworld.com/users/food_1071/avatar.jpg
@eat_g0jv,BBQ master | Grilling tips & smoker recipes | Weekends only,CAT005,48132,463,4.52,2175,https://cdn.foodieworld.com/users/food_1072/avatar.jpg
@wander_kmkz,Luxury travel blogger | Hidden gems & 5-star experiences,CAT004,111873,2045,10.11,11310,https://static.wanderlust.io/profiles/travel_1073.jpg
@style_ze5r5,Personal stylist | Helping you dress your best every day,CAT002,499274,1604,8.55,42687,https://instagram.fcdn.com/fashion_1074/profile.jpg
@mode_gb7r3,Streetwear & sneaker culture | Drops every Tuesday,CAT002,516884,910,13.63,70451,https://instagram.fcdn.com/fashion_1075/profile.jpg
@eat_f38,Home chef & food blogger | Recipes every week | Mostly vegetarian,CAT005,82843,1250,2.59,2145,https://cdn.foodieworld.com/users/food_1076/avatar.jpg
@drift_1n6k,Solo female traveler | Safety tips & inspiring journeys,CAT004,329134,2072,8.3,27318,https://static.wanderlust.io/profiles/travel_1077.jpg
@sweat_v08,CrossFit athlete | Nutrition coach | Weekly workout plans,CAT003,98445,1223,8.05,7924,https://cdn.fitfluencer.com/profiles/fitness_1078.jpg
@voyage_fgc,Full-time traveler | 60+ countries | Budget travel hacks,CAT004,234081,3141,9.32,21816,https://static.wanderlust.io/profiles/travel_1079.jpg
@yummy_kizzqy,Pastry chef | Baking tutorials | Dessert lover,CAT005,108968,12857,5.6,6102,https://cdn.foodieworld.com/users/food_1080/avatar.jpg
@roam_eifjfc,"Adventure seeker | Hiking, diving & camping across the globe",CAT004,433342,4523,13.49,58457,https://static.wanderlust.io/profiles/travel_1081.jpg
@explore_pqkoj,Solo female traveler | Safety tips & inspiring journeys,CAT004,161392,3854,15.24,24596,https://static.wanderlust.io/profiles/travel_1082.jpg
@trend_60v,Fashion influencer | Styling tips & OOTDs daily | Brand collabs open,CAT002,496836,1448,13.25,65830,https://instagram.fcdn.com/fashion_1083/profile.jpg
@tech_u1gsp,Full-stack developer | React & Node.js | Building scalable products,CAT001,5000000,225,5.06,252999,https://pbs.twimg.com/profile_images/tech_1084/photo.jpg
@cloud_8qoldf,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,974748,981,11.97,116677,https://pbs.twimg.com/profile_images/tech_1085/photo.jpg
@cloud_qll,Cybersecurity expert | Ethical hacker | Keeping your data safe,CAT001,941749,3842,5.59,52643,https://pbs.twimg.com/profile_images/tech_1086/photo.jpg
@tech_ogn1w1,Data scientist | ML researcher | Turning data into decisions,CAT001,3187929,2460,10.42,332182,https://pbs.twimg.com/profile_images/tech_1087/photo.jpg
@saas_5rbw2z,Full-stack developer | React & Node.js | Building scalable products,CAT001,806479,1440,7.94,64034,https://pbs.twimg.com/profile_images/tech_1088/photo.jpg
@cloud_i4e,Software engineer | Open source contributor | Python & cloud enthusiast,CAT001,5000000,6173,3.12,156000,https://pbs.twimg.com/profile_images/tech_1089/photo.jpg
@grind_sj49i,Gym rat & powerlifter | Strength over aesthetics | PRs weekly,CAT003,66754,3131,13.32,8891,https://cdn.fitfluencer.com/profiles/fitness_1090.jpg
@explore_5j2o,Solo female traveler | Safety tips & inspiring journeys,CAT004,149351,343,11.22,16757,https://static.wanderlust.io/profiles/travel_1091.jpg
@saas_4ux5q,Product manager at a top tech unicorn | UX-driven | Growth hacking,CAT001,1692380,1994,10.38,175669,https://pbs.twimg.com/profile_images/tech_1092/photo.jpg
@vogue_qlgzui,Model & content creator | Haute couture to everyday glam,CAT002,368226,1375,11.99,44150,https://instagram.fcdn.com/fashion_1093/profile.jpg
@build_nx39rb,Tech entrepreneur | Investor | Building next-gen SaaS platforms,CAT001,3605340,2304,3.39,122221,https://pbs.twimg.com/profile_images/tech_1094/photo.jpg
@grind_sq0,Marathon runner | Endurance training tips | Race day advice,CAT003,282161,1395,13.74,38768,https://cdn.fitfluencer.com/profiles/fitness_1095.jpg
@fit_2jwocl,"Wellness coach | Holistic health | Mind, body & soul",CAT003,90421,2261,14.7,13291,https://cdn.fitfluencer.com/profiles/fitness_1096.jpg
@chic_5bcw79,Fashion blogger | Budget-friendly outfits | Link in bio,CAT002,390259,6081,12.56,49016,https://instagram.fcdn.com/fashion_1097/profile.jpg
