Post_ID,Handle,Likes,Comments,Engagement,Hashtags,Post_Date,Sentiment_Score,Context
POST000001,@tech_fozbr,60762,1030,61792,#Tech #Startup #Python #AI #DataScience,27-05-2024,-0.0677,Excited to share this with you all! Drop your thoughts below 👇
POST000002,@chic_mpxo,133769,2433,136202,#FashionBlogger #FashionWeek #StyleTips #StyleInspo,02-01-2025,-0.0536,"Behind the scenes of my latest project. Real work, real results."
POST000003,@code_4kan,368462,26207,394669,#DevOps #AI #CloudComputing,23-10-2024,-0.1737,"Your questions, answered! Deep dive in the caption."
POST000004,@chic_v7rdcp,95781,5991,101772,#FashionWeek #Trending #Streetwear #StyleTips #FashionBlogger,21-02-2024,-0.8139,I tested this for 30 days. Here are the results 🔥
POST000005,@saas_rg6iaq,107624,1181,108805,#DevOps #AI #DataScience,11-11-2025,0.989,This changed everything for me. Swipe to see the full story.
POST000006,@data_7edqzs,155067,2308,157375,#OpenSource #CloudComputing #DevOps #AI,15-08-2024,-0.1381,Excited to share this with you all! Drop your thoughts below 👇
POST000007,@glam_04nwlr,24209,1632,25841,#Vintage #StyleInspo #Streetwear #LuxuryFashion,17-11-2025,-0.9898,POV: You finally figured out fashion. Life-changing.
POST000008,@bite_juzx,4160,236,4396,#HomeCooking #Foodie #Yummy #FoodPhotography #MealPrep,10-01-2024,0.6271,"Not sponsored, just genuinely love this. Here's my honest take."
POST000009,@cook_a54rpo,18179,559,18738,#Foodie #FoodPhotography #HealthyEating #Yummy #Vegan #MealPrep,18-01-2025,0.9979,"Not sponsored, just genuinely love this. Here's my honest take."
POST000010,@cloud_7wukjp,166789,8759,175548,#AI #OpenSource #Startup #DataScience #Python #MachineLearning,24-03-2025,-0.3149,This changed everything for me. Swipe to see the full story.
POST000011,@glam_euf,73412,1526,74938,#Trending #OOTD #FashionBlogger #FashionWeek,11-01-2024,-0.7301,POV: You finally figured out fashion. Life-changing.
POST000012,@mode_i85,103518,1668,105186,#OOTD #Vintage #FashionBlogger #Streetwear,11-09-2024,-0.7879,Day 14 of my journey — here's what I learned today.
POST000013,@style_nam,39424,3116,42540,#FashionBlogger #Vintage #StyleInspo #LuxuryFashion #Sustainable,22-05-2024,0.6571,"Behind the scenes of my latest project. Real work, real results."
POST000014,@roam_aef,7443,377,7820,#TravelPhotography #Wanderlust #HiddenGems #Backpacker #DigitalNomad,15-11-2024,0.0841,Excited to share this with you all! Drop your thoughts below 👇
POST000015,@roam_y9zg2,11664,425,12089,#HiddenGems #Adventure #TravelBlogger #TravelPhotography #Backpacker #SoloTravel,12-03-2025,0.1994,"Behind the scenes of my latest project. Real work, real results."
POST000016,@dev_5tz6sw,150076,11418,161494,#DevOps #Python #OpenSource,20-07-2025,-0.9613,Day 36 of my journey — here's what I learned today.
POST000017,@bite_rn6guu,2570,186,2756,#RecipeOfTheDay #Foodie #Yummy #Vegan #FoodPhotography #HomeCooking,24-03-2025,0.3643,Day 100 of my journey — here's what I learned today.
POST000018,@roam_4wl27,70666,5106,75772,#TravelBlogger #HiddenGems #TravelPhotography,04-11-2024,-0.2599,POV: You finally figured out travel. Life-changing.
POST000019,@trend_io4jz,55447,2149,57596,#FashionBlogger #StyleInspo #FashionWeek #StyleTips #Trending,23-03-2025,-0.8723,I tested this for 30 days. Here are the results 🔥
