Date,Year,Month,Month_Number,Quarter,Weekday,Is_Recent_30_Days
07-10-2024,2024,October,10,4,Monday,0
07-04-2025,2025,April,4,2,Monday,0
31-07-2024,2024,July,7,3,Wednesday,0
12-06-2024,2024,June,6,2,Wednesday,0
11-11-2024,2024,November,11,4,Monday,0
31-08-2024,2024,August,8,3,Saturday,0
04-09-2024,2024,September,9,3,Wednesday,0
07-02-2025,2025,February,2,1,Friday,0
13-03-2024,2024,March,3,1,Wednesday,0
18-02-2025,2025,February,2,1,Tuesday,0
23-10-2024,2024,October,10,4,Wednesday,0
16-08-2024,2024,August,8,3,Friday,0
08-09-2025,2025,September,9,3,Monday,0
12-01-2024,2024,January,1,1,Friday,0
09-03-2024,2024,March,3,1,Saturday,0
25-02-2024,2024,February,2,1,Sunday,0
23-08-2024,2024,August,8,3,Friday,0
23-04-2024,2024,April,4,2,Tuesday,0
27-11-2024,2024,November,11,4,Wednesday,0
02-02-2024,2024,February,2,1,Friday,0
19-04-2024,2024,April,4,2,Friday,0
25-09-2025,2025,September,9,3,Thursday,0
03-12-2024,2024,December,12,4,Tuesday,0
21-06-2025,2025,June,6,2,Saturday,0
23-11-2025,2025,November,11,4,Sunday,0
09-08-2025,2025,August,8,3,Saturday,0
19-05-2025,2025,May,5,2,Monday,0
25-05-2025,2025,May,5,2,Sunday,0
10-05-2025,2025,May,5,2,Saturday,0
28-09-2024,2024,September,9,3,Saturday,0
31-12-2024,2024,December,12,4,Tuesday,0
18-05-2024,2024,May,5,2,Saturday,0
30-12-2025,2025,December,12,4,Tuesday,0
31-07-2025,2025,July,7,3,Thursday,0
28-06-2024,2024,June,6,2,Friday,0
27-12-2024,2024,December,12,4,Friday,0
12-09-2024,2024,September,9,3,Thursday,0
30-05-2024,2024,May,5,2,Thursday,0
14-05-2024,2024,May,5,2,Tuesday,0
09-04-2024,2024,April,4,2,Tuesday,0
15-07-2024,2024,July,7,3,Monday,0
04-03-2025,2025,March,3,1,Tuesday,0
09-04-2024,2024,April,4,2,Tuesday,0
23-05-2024,2024,May,5,2,Thursday,0
31-03-2024,2024,March,3,1,Sunday,0
16-06-2024,2024,June,6,2,Sunday,0
24-07-2024,2024,July,7,3,Wednesday,0
23-04-2024,2024,April,4,2,Tuesday,0
11-11-2024,2024,November,11,4,Monday,0
21-01-2024,2024,January,1,1,Sunday,0
03-02-2025,2025,February,2,1,Monday,0
19-07-2025,2025,July,7,3,Saturday,0
06-10-2025,2025,October,10,4,Monday,0
01-10-2024,2024,October,10,4,Tuesday,0
31-07-2024,2024,July,7,3,Wednesday,0
05-01-2025,2025,January,1,1,Sunday,0
